1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:26 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:26 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:27 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:27 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:27 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:27 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:27 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:27 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:28 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:28 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:28 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:30 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:30 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:30 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:31 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:31 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:31 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:31 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:31 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:31 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:31 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:31 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:33 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:33 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:33 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:34 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:34 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:34 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:34 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:34 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:34 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:34 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:34 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:34 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:36 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:36 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:36 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:37 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:37 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:37 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:37 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:37 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:37 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:37 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:37 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:37 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:39 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:39 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:39 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:40 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:40 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:40 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:40 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:40 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:40 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:40 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:40 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:40 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:42 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:42 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:42 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:43 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:43 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:43 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:43 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:43 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:43 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:43 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:43 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:43 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:45 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:45 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:45 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:46 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:46 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:46 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:46 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:46 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:46 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:46 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:46 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:46 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:48 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:48 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:48 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:49 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:49 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:49 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:49 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:49 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:49 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:49 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:49 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:49 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:51 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:51 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:51 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:52 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:52 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:52 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:52 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:52 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:52 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:52 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:52 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:52 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:54 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:54 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:54 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:55 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:55 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:55 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:55 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:55 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:55 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:55 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:55 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:55 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:45:57 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:45:57 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:45:57 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:45:58 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:45:58 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:45:58 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:45:58 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:45:58 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:45:58 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:45:58 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:45:58 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:45:58 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:00 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:00 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:00 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:01 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:01 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:01 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:01 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:01 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:01 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:01 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:01 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:01 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:03 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:03 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:03 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:04 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:04 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:04 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:04 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:04 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:04 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:04 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:04 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:04 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:06 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:06 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:06 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:27 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:27 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:27 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:27 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:27 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:27 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:27 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:27 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:27 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:30 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:30 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:30 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:31 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:31 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:31 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:31 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:31 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:31 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:31 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:31 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:33 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:33 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:33 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:34 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:34 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:34 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:34 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:34 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:34 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:34 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:34 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:34 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:36 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:36 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:36 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:37 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:37 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:37 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:37 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:37 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:37 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:37 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:37 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:37 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:39 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:39 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:39 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:40 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:40 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:40 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:40 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:40 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:40 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:40 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:40 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:40 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:42 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:42 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:43 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:43 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:43 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:43 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:43 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:43 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:43 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:44 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:44 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:44 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:45 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:45 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:46 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:46 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:46 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:46 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:46 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:46 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:46 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:47 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:47 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:47 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:48 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:48 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:49 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:49 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:49 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:49 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:49 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:49 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:49 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:50 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:50 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:50 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:51 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:51 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:52 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:52 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:52 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:52 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:52 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:46:52 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:46:52 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:46:53 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:46:53 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:46:53 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:46:54 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:46:54 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:46:55 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:46:55 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:46:55 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:46:55 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:46:55 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
